,name,networth,rank,year
1558,Vincent McMahon,2.1,1517,2021
1559,David Murdock,2.1,1517,2021
1560,Vikas Oberoi,2.1,1517,2021
1562,Roger Penske,2.1,1517,2021
1564,Phil Ruffin,2.1,1517,2021
1570,Timur Turlov,2.1,1517,2021
1572,Wang Chou-hsiong,2.1,1517,2021
1579,S. Daniel Abraham,2.0,1580,2021
1581,Roberto Angelini Rossi,2.0,1580,2021
1583,George Argyros & family,2.0,1580,2021
1593,Glenn Dubin,2.0,1580,2021
1598,Kenneth Feld & family,2.0,1580,2021
1605,Jeffery Hildebrand,2.0,1580,2021
1606,J. Tomilson Hill,2.0,1580,2021
1607,Orion Hindawi,2.0,1580,2021
1611,George Joseph,2.0,1580,2021
1613,Sergei Kolesnikov,2.0,1580,2021
1614,Thomas Lee,2.0,1580,2021
1623,Craig McCaw,2.0,1580,2021
1625,Robert Miller,2.0,1580,2021
1626,Charles Munger,2.0,1580,2021
1628,Jonathan Nelson,2.0,1580,2021
1630,Kevin Plank,2.0,1580,2021
1634,Jennifer Pritzker,2.0,1580,2021
1637,Igor Rybakov,2.0,1580,2021
1641,Thaksin Shinawatra,2.0,1580,2021
1644,Alexander Svetakov,2.0,1580,2021
1646,Tang Xiuguo,2.0,1580,2021
1651,Georg von Opel,2.0,1580,2021
1661,William Young,2.0,1580,2021
1664,Aziz Akhannouch & family,1.9,1664,2021
1665,Joao Alves de Queiroz Filho,1.9,1664,2021
1674,Chen Tei-fu,1.9,1664,2021
1675,Chung Yong-jin,1.9,1664,2021
1676,Thierry Cruanes,1.9,1664,2021
1677,Benoit Dageville,1.9,1664,2021
1679,James Dinan,1.9,1664,2021
1681,Bulent Eczacibasi,1.9,1664,2021
1684,Robert Fisher,1.9,1664,2021
1688,Sanjiv Goenka,1.9,1664,2021
1692,Bill Haslam,1.9,1664,2021
1693,Roberto Hernandez Ramirez,1.9,1664,2021
1695,Stanley Hubbard,1.9,1664,2021
1697,Hamilton James,1.9,1664,2021
1701,Michael Kim,1.9,1664,2021
1704,Christopher Kwok,1.9,1664,2021
1714,Anand Mahindra,1.9,1664,2021
1716,Lachhman Das Mittal,1.9,1664,2021
1717,Ermirio Pereira de Moraes,1.9,1664,2021
1718,Maria Helena Moraes Scripilliti,1.9,1664,2021
1722,Larry Robbins,1.9,1664,2021
1723,Brian Roberts,1.9,1664,2021
1727,Frank Slootman,1.9,1664,2021
1728,Sergio Stevanato,1.9,1664,2021
1729,Kevin Systrom,1.9,1664,2021
1733,Todd Wagner,1.9,1664,2021
1741,Gordon Wu,1.9,1664,2021
1746,Zhu Xingliang,1.9,1664,2021
1748,Anita Zucker,1.9,1664,2021
1750,Leslie Alexander,1.8,1750,2021
1752,Roman Avdeev,1.8,1750,2021
1753,Arun Bharat Ram,1.8,1750,2021
1756,Vladimir Bogdanov,1.8,1750,2021
1763,Jamie Dimon,1.8,1750,2021
1764,Robert Duggan,1.8,1750,2021
1769,James France,1.8,1750,2021
1770,Mario Gabelli,1.8,1750,2021
1772,Rolf Gerling,1.8,1750,2021
1780,Thomas James,1.8,1750,2021
1781,Stephen Jarislowsky,1.8,1750,2021
1785,Ihor Kolomoyskyy,1.8,1750,2021
1786,Marc Lasry,1.8,1750,2021
1787,Lee Boo-jin,1.8,1750,2021
1788,Lei Jufang,1.8,1750,2021
1791,Vincent Lo,1.8,1750,2021
1803,Husnu Ozyegin,1.8,1750,2021
1811,Leonard Schleifer,1.8,1750,2021
1816,Sun Guangxin,1.8,1750,2021
1817,Henry Swieca,1.8,1750,2021
1820,Martin Viessmann,1.8,1750,2021
1823,Kanye West,1.8,1750,2021
1832,Chirayu Amin,1.7,1833,2021
1833,Marc Andreessen,1.7,1833,2021
1834,Vasily Anisimov,1.7,1833,2021
1840,Peter Buck,1.7,1833,2021
1857,Henry Engelhardt,1.7,1833,2021
1860,Paul Foster,1.7,1833,2021
1862,Robert Friedland,1.7,1833,2021
1864,G. Gnanalingam,1.7,1833,2021
1865,Christopher Goldsbury,1.7,1833,2021
1866,Said Gutseriev,1.7,1833,2021
1868,John Hancock,1.7,1833,2021
1871,Anurang Jain,1.7,1833,2021
1872,Devendra Jain,1.7,1833,2021
1876,Sergei Katsiev,1.7,1833,2021
1877,Kim Sang-yeol,1.7,1833,2021
1878,Kagemasa Kozuki,1.7,1833,2021
1879,Edward Lampert,1.7,1833,2021
1880,Lee Joon-ho,1.7,1833,2021
1881,Lee Seo-hyun,1.7,1833,2021
1882,Jimmy John Liautaud,1.7,1833,2021
1889,Todd McKinnon,1.7,1833,2021
1890,Shalom Meckenzie,1.7,1833,2021
1891,Gary Michelson,1.7,1833,2021
1893,Jorge Perez,1.7,1833,2021
1895,Nicholas Pritzker,1.7,1833,2021
1896,Theodore Rachmat,1.7,1833,2021
1897,Megdet Rahimkulov & family,1.7,1833,2021
1898,Jerry Reinsdorf,1.7,1833,2021
1903,Sheryl Sandberg,1.7,1833,2021
1904,Andres Santo Domingo,1.7,1833,2021
1905,Ivan Savvidis,1.7,1833,2021
1906,Shao Genhuo,1.7,1833,2021
1908,Rajju Shroff,1.7,1833,2021
1916,Pavel Tykac,1.7,1833,2021
1917,Rufino Vigil Gonzalez,1.7,1833,2021
1920,Charlotte Colket Weber,1.7,1833,2021
1929,Zhang Guiping & family,1.7,1833,2021
1937,Amit Burman,1.6,1931,2021
1942,Chen Yung-tai,1.6,1931,2021
1963,Niranjan Hiranandani,1.6,1931,2021
1964,Ho Hung Anh,1.6,1931,2021
1968,Michael Jordan,1.6,1931,2021
1970,Alexander Klyachin,1.6,1931,2021
1971,William Koch,1.6,1931,2021
1973,Robert Langer,1.6,1931,2021
1975,Michael Lee-Chin,1.6,1931,2021
1982,Gary Magness,1.6,1931,2021
1984,David Mindus,1.6,1931,2021
1994,Nelson Peltz,1.6,1931,2021
1995,Petro Poroshenko,1.6,1931,2021
2000,Subhash Runwal,1.6,1931,2021
2002,Bhadresh Shah,1.6,1931,2021
2005,Leonid Simanovsky,1.6,1931,2021
2006,Peter Sperling,1.6,1931,2021
2007,Sun Weijie,1.6,1931,2021
2014,Shigefumi Wada,1.6,1931,2021
2028,David Zalik,1.6,1931,2021
2036,"Herbert Allen, Jr. & family",1.5,2035,2021
2042,Ron Burkle,1.5,2035,2021
2044,Steve Case,1.5,2035,2021
2045,Safra Catz,1.5,2035,2021
2052,Alberto Cortina,1.5,2035,2021
2053,Bharat Desai,1.5,2035,2021
2055,John Farber,1.5,2035,2021
2056,Gary Fegel,1.5,2035,2021
2057,John Foley,1.5,2035,2021
2059,Alan Gerry,1.5,2035,2021
2061,Bill Gross,1.5,2035,2021
2062,Sue Gross,1.5,2035,2021
2069,Kim Jun-ki,1.5,2035,2021
2071,Pyotr Kondrashev,1.5,2035,2021
2072,Raymond Kwok,1.5,2035,2021
2077,Gary Lauder,1.5,2035,2021
2078,James Leininger,1.5,2035,2021
2081,Vladimir Litvinenko,1.5,2035,2021
2085,Youssef Mansour,1.5,2035,2021
2087,Strive Masiyiwa,1.5,2035,2021
2088,Billy Joe (Red) McCombs,1.5,2035,2021
2097,Mark Pincus,1.5,2035,2021
2098,Michael Polsky,1.5,2035,2021
2101,Satish Reddy,1.5,2035,2021
2103,Helena Revoredo,1.5,2035,2021
2105,Vinod Saraf,1.5,2035,2021
2106,Fayez Sarofim,1.5,2035,2021
2108,Basudeo Singh,1.5,2035,2021
2109,Ryan Smith,1.5,2035,2021
2116,Kenny Troutt,1.5,2035,2021
2117,John Van Lieshout,1.5,2035,2021
2118,Radha Vembu,1.5,2035,2021
2125,Thomas Wu,1.5,2035,2021
2134,Yuan Zhimin & family,1.5,2035,2021
2140,Anu Aga,1.4,2141,2021
2142,Alberto Alcocer,1.4,2141,2021
2145,Mori Arkin,1.4,2141,2021
2146,Clifford Asness,1.4,2141,2021
2149,Louis Bacon,1.4,2141,2021
2153,Zadik Bino & family,1.4,2141,2021
2162,Fernando Chico Pardo,1.4,2141,2021
2164,Jim Crane,1.4,2141,2021
2166,Darwin Deason,1.4,2141,2021
2169,Thomas Duff,1.4,2141,2021
2170,Keith Dunleavy & family,1.4,2141,2021
2172,Lloyd Frink,1.4,2141,2021
2174,Jayme Garfinkel,1.4,2141,2021
2188,Huang Hongyun & family,1.4,2141,2021
2199,Andrei Kosogov,1.4,2141,2021
2200,Guilherme Peirao Leal,1.4,2141,2021
2207,Anatoly Lomakin,1.4,2141,2021
2212,Terence (Terry) Matthews,1.4,2141,2021
2217,Kerr Neilson,1.4,2141,2021
2218,Vadim Novinsky,1.4,2141,2021
2219,John Ocampo,1.4,2141,2021
2226,Oliver Samwer,1.4,2141,2021
2227,Martin Selig,1.4,2141,2021
2231,Michael Spencer,1.4,2141,2021
2233,Thomas Steyer,1.4,2141,2021
2238,Jim Thompson,1.4,2141,2021
2240,Wilma Tisch,1.4,2141,2021
2242,Jayshree Ullal,1.4,2141,2021
2251,"Alfred West, Jr.",1.4,2141,2021
2256,"Richard Yuengling, Jr.",1.4,2141,2021
2262,Sanjay Agarwal,1.3,2263,2021
2268,Achal Bakeri,1.3,2263,2021
2269,Elena Baturina,1.3,2263,2021
2270,Othman Benjelloun & family,1.3,2263,2021
2276,Chuck Bundrant,1.3,2263,2021
2277,Pradip Burman,1.3,2263,2021
2279,Chang Pyung-soon,1.3,2263,2021
2280,Jeffrey Cheah,1.3,2263,2021
2283,Cho Jung-ho,1.3,2263,2021
2287,Turgay Ciner,1.3,2263,2021
2291,Egon Durban,1.3,2263,2021
2298,Ayman Hariri,1.3,2263,2021
2300,Eduardo Hochschild,1.3,2263,2021
2309,Kim Nam-jung,1.3,2263,2021
2310,Hemendra Kothari,1.3,2263,2021
2311,Michael Krasny,1.3,2263,2021
2312,Igor Kudryashkin,1.3,2263,2021
2323,Deepak Mehta,1.3,2263,2021
2330,Bob Muglia,1.3,2263,2021
2331,George Alexander Muthoot,1.3,2263,2021
2332,George Jacob Muthoot,1.3,2263,2021
2340,Thomas Sandell,1.3,2263,2021
2342,Ilya Scherbovich,1.3,2263,2021
2343,Gerald Schwartz,1.3,2263,2021
2344,Anatoly Sedykh,1.3,2263,2021
2345,Radik Shaimiev,1.3,2263,2021
2348,Shin Chang-jae,1.3,2263,2021
2360,Farris Wilks,1.3,2263,2021
2361,Whitney Wolfe Herd,1.3,2263,2021
2367,Luis Enrique Yarur Rey,1.3,2263,2021
2372,Patrick Zalupski,1.3,2263,2021
2374,Zhou Chengjian,1.3,2263,2021
2377,Aras Agalarov,1.2,2378,2021
2378,Syed Mokhtar AlBukhary,1.2,2378,2021
2380,Thomas Bailey,1.2,2378,2021
2382,Sachin Bansal,1.2,2378,2021
2387,Chen Tianqiao,1.2,2378,2021
2388,Henry Cheng,1.2,2378,2021
2392,Ronald Clarke,1.2,2378,2021
2400,Wesley Edens,1.2,2378,2021
2405,Gleb Fetisov,1.2,2378,2021
2407,J. Christopher Flowers,1.2,2378,2021
2408,Dan Gertler,1.2,2378,2021
2409,Premchand Godha,1.2,2378,2021
2412,Ryan Graves,1.2,2378,2021
2417,Hong Seok-joh,1.2,2378,2021
2424,Eugene Kaspersky,1.2,2378,2021
2426,Kim Jung-woong,1.2,2378,2021
2431,Andrei Komarov,1.2,2378,2021
2432,Koo Bon-joon,1.2,2378,2021
2433,Koo Bon-neung,1.2,2378,2021
2434,Koo Bon-sik,1.2,2378,2021
2436,Joe Lacob,1.2,2378,2021
2438,Lee Jay-hyun,1.2,2378,2021
2442,Liu Gexin & family,1.2,2378,2021
2446,Frederic Luddy,1.2,2378,2021
2449,Bill Malhotra,1.2,2378,2021
2450,Jorge Mas,1.2,2378,2021
2451,Muneaki Masuda,1.2,2378,2021
2452,Andrei Molchanov,1.2,2378,2021
2460,Roberto Ongpin,1.2,2378,2021
2461,Eren Ozmen,1.2,2378,2021
2463,Chamath Palihapitiya,1.2,2378,2021
2465,G.V. Prasad,1.2,2378,2021
2466,Michael Price,1.2,2378,2021
2470,Andrei Rappoport,1.2,2378,2021
2474,Boris Rotenberg,1.2,2378,2021
2475,Chris Sacca,1.2,2378,2021
2476,Alexander Samwer,1.2,2378,2021
2477,Marc Samwer,1.2,2378,2021
2479,James Scapa,1.2,2378,2021
2480,Albert Shigaboutdinov,1.2,2378,2021
2485,Nik Storonsky,1.2,2378,2021
2486,Sergei Sudarikov,1.2,2378,2021
2488,Rustem Sulteev,1.2,2378,2021
2490,Nutchamai Thanombooncharoen,1.2,2378,2021
2493,Robert Toll,1.2,2378,2021
2501,Wang Ren-sheng,1.2,2378,2021
2503,Allan Wong,1.2,2378,2021
2523,Radhe Shyam Agarwal,1.1,2524,2021
2528,Binny Bansal,1.1,2524,2021
2529,Eduardo Belmont Anderson,1.1,2524,2021
2530,John Bicket,1.1,2524,2021
2531,Sanjit Biswas,1.1,2524,2021
2532,Lloyd Blankfein,1.1,2524,2021
2542,Weili Dai,1.1,2524,2021
2549,Soichiro Fukutake,1.1,2524,2021
2555,Anne Gittinger,1.1,2524,2021
2557,Radhe Shyam Goenka,1.1,2524,2021
2563,Ming Hsieh,1.1,2524,2021
2566,Mohammed Ibrahim,1.1,2524,2021
2573,Richard Kayne,1.1,2524,2021
2578,Gennady Kozovoy,1.1,2524,2021
2584,Lee Ho-jin,1.1,2524,2021
2585,Lee Joong-keun,1.1,2524,2021
2586,Manfredi Lefebvre d'Ovidio,1.1,2524,2021
2587,Nancy Lerner,1.1,2524,2021
2589,Randolph Lerner,1.1,2524,2021
2602,Yasseen Mansour,1.1,2524,2021
2608,Bruce Nordstrom,1.1,2524,2021
2619,M.Satyanarayana Reddy,1.1,2524,2021
2623,Jack Schuler,1.1,2524,2021
2624,Neerja Sethi,1.1,2524,2021
2627,Michael S. Smith,1.1,2524,2021
2630,Sehat Sutardja,1.1,2524,2021
2636,Mehmet Sinan Tara,1.1,2524,2021
2638,Carl Thoma,1.1,2524,2021
2647,Wen Yibo & family,1.1,2524,2021
2649,Dan Wilks,1.1,2524,2021
2654,Eugene Wu,1.1,2524,2021
2657,George Yancopoulos,1.1,2524,2021
2661,Igor Yusufov,1.1,2524,2021
2671,Boris Zingarevich,1.1,2524,2021
2672,Ahmet Nazif Zorlu,1.1,2524,2021
2674,Albert Avdolyan,1.0,2674,2021
2675,Baiju Bhatt,1.0,2674,2021
2676,"Wilbur 'Ed' Bosarge, Jr.",1.0,2674,2021
2679,Chung Mong-joon,1.0,2674,2021
2685,Larry Fink,1.0,2674,2021
2695,Hur Young-in,1.0,2674,2021
2698,Ashok Kajaria,1.0,2674,2021
2702,Bom Kim,1.0,2674,2021
2703,Masatoshi Kumagai,1.0,2674,2021
2704,Lev Kvetnoi,1.0,2674,2021
2705,Vladimir Leschikov,1.0,2674,2021
2708,Jose Llado Fernandez-Urrutia,1.0,2674,2021
2711,Sergei Makhlai,1.0,2674,2021
2716,Vitaly Orlov,1.0,2674,2021
2725,Shin Dong-joo,1.0,2674,2021
2727,Zakhar Smushkin,1.0,2674,2021
2731,Manny Stul,1.0,2674,2021
2732,Vlad Tenev,1.0,2674,2021
2733,Rit Thirakomen,1.0,2674,2021
2735,Tsai Chi-jui,1.0,2674,2021
2736,Surin Upatkoon,1.0,2674,2021
2737,Ruben Vardanyan,1.0,2674,2021
2742,J. Wayne Weaver,1.0,2674,2021
2743,Sandy Weill,1.0,2674,2021
2746,Vadim Yakunin,1.0,2674,2021
