,name,networth,rank,year
311,Andrew Beal,7.9,311,2021
312,Dmitry Bukhman,7.9,311,2021
313,Igor Bukhman,7.9,311,2021
316,Alexei Kuzmichev,7.8,316,2021
317,John Malone,7.8,316,2021
319,Pamela Mars,7.8,316,2021
320,Valerie Mars,7.8,316,2021
321,Victoria Mars,7.8,316,2021
325,Simon Reuben,7.7,323,2021
326,Alexander Abramov,7.6,327,2021
327,Rinat Akhmetov,7.6,327,2021
328,Silvio Berlusconi & family,7.6,327,2021
329,John Grayken,7.6,327,2021
330,David Green & family,7.6,327,2021
331,George Roberts,7.6,327,2021
333,Nancy Walton Laurie,7.5,334,2021
337,Patrick Soon-Shiong,7.5,334,2021
338,Antonia Ax:son Johnson & family,7.4,339,2021
340,George Lucas,7.4,339,2021
342,Zhang Jindong,7.4,339,2021
343,Laurent Dassault,7.3,344,2021
346,Henry Kravis,7.3,344,2021
350,David Shaw,7.3,344,2021
351,Rocco Commisso,7.2,352,2021
353,Bernard Marcus,7.2,352,2021
357,Carl Bennet,7.1,358,2021
360,Ralph Lauren,7.1,358,2021
366,Anthony Wood,7.1,358,2021
367,Gang Ye,7.1,358,2021
368,Igor Altushkin,7.0,369,2021
372,Vincent Bolloré & family,7.0,369,2021
373,Gustaf Douglas,7.0,369,2021
374,Terry Gou,7.0,369,2021
375,"Paul Tudor Jones, II.",7.0,369,2021
376,Richard Kinder,7.0,369,2021
378,Stephen Ross,7.0,369,2021
380,Jim Davis & family,6.9,380,2021
381,Guo Guangchang,6.9,380,2021
382,Robert Kraft,6.9,380,2021
389,Aloys Wobben,6.8,384,2021
390,Micky Arison,6.7,391,2021
393,Kwon Hyuk-bin,6.7,391,2021
395,Fredrik Lundberg,6.7,391,2021
396,Hiroshi Mikitani,6.7,391,2021
397,Dmitry Rybolovlev,6.7,391,2021
398,Reinhold Schmieding,6.7,391,2021
400,Bruce Kovner,6.6,400,2021
401,Wang Wenjing,6.6,400,2021
407,James Goodnight,6.5,404,2021
410,Sri Prakash Lohia,6.5,404,2021
411,John Overdeck,6.5,404,2021
413,Horst Julius Pudwill,6.5,404,2021
414,David Siegel,6.5,404,2021
415,Ronda Stryker,6.5,404,2021
419,Dennis Washington,6.4,418,2021
420,Rahul Bajaj,6.3,421,2021
421,Ashwin Dani & family,6.3,421,2021
422,Andreas Halvorsen,6.3,421,2021
423,Andrei Kozitsyn,6.3,421,2021
425,Shi Yuzhu,6.3,421,2021
427,Murat Ulker,6.3,421,2021
431,Arthur Blank,6.2,432,2021
433,Jiang Bin,6.2,432,2021
435,Mitchell Rales,6.2,432,2021
439,Mike Adenuga,6.1,440,2021
440,Charles Dolan & family,6.1,440,2021
448,Henry Samueli,6.1,440,2021
449,Les Wexner & family,6.1,440,2021
452,Robert Brockman,6.0,451,2021
453,Mong-Koo Chung,6.0,451,2021
454,Dulce Pugliese de Godoy Bueno,6.0,451,2021
455,Daniel Dines,6.0,451,2021
457,Judy Faulkner,6.0,451,2021
460,Frits Goldschmeding,6.0,451,2021
461,Andrei Guriev & family,6.0,451,2021
466,Robert F. Smith,6.0,451,2021
467,John A. Sobrato & family,6.0,451,2021
468,Ronald Wanek,6.0,451,2021
469,Randa Duncan Williams,6.0,451,2021
470,Hansjoerg Wyss,6.0,451,2021
471,Chen Fashu,5.9,472,2021
475,Maria Asuncion Aramburuzabala & family,5.8,476,2021
476,Chan Laiwa & family,5.8,476,2021
477,George Kaiser,5.8,476,2021
478,Ananda Krishnan,5.8,476,2021
479,Douglas Leone,5.8,476,2021
484,Meg Whitman,5.8,476,2021
485,Neil Bluhm,5.7,486,2021
487,Tom Gores,5.7,486,2021
489,Michael Moritz,5.7,486,2021
492,Emanuele (Lino) Saputo & family,5.7,486,2021
494,Teh Hong Piow,5.7,486,2021
498,Tamara Gustavson,5.6,496,2021
503,Dagmar Dolby & family,5.5,502,2021
505,Ken Fisher,5.5,502,2021
506,Ivan Glasenberg,5.5,502,2021
509,Karel Komarek,5.5,502,2021
510,Ronald Lauder,5.5,502,2021
512,J. Christopher Reyes,5.5,502,2021
513,Jude Reyes,5.5,502,2021
515,"Edward Roski, Jr.",5.5,502,2021
524,"Henry Nicholas, III.",5.4,520,2021
525,Terrence Pegula,5.4,520,2021
528,Pyotr Aven,5.3,529,2021
531,Barry Lam,5.3,529,2021
537,Sam Zell,5.3,529,2021
538,John Brown,5.2,539,2021
539,Giuseppe De'Longhi & family,5.2,539,2021
541,Joe Mansueto,5.2,539,2021
543,Gary Rollins,5.2,539,2021
549,Robert Bass,5.1,550,2021
550,Pierre Chen,5.1,550,2021
551,Mahendra Choksi & family,5.1,550,2021
553,Reed Hastings,5.1,550,2021
560,Bernard Broermann,5.0,561,2021
561,Jason Chang,5.0,561,2021
562,Joshua Harris,5.0,561,2021
564,Lin Xiucheng & family,5.0,561,2021
565,Pankaj Patel,5.0,561,2021
567,"Walter Scott, Jr. & family",5.0,561,2021
568,Charles Simonyi,5.0,561,2021
570,Daniel Ziff,5.0,561,2021
571,Dirk Ziff,5.0,561,2021
572,Robert Ziff,5.0,561,2021
573,Stephen Bisciotti,4.9,574,2021
575,Charles B. Johnson,4.9,574,2021
578,Lin Li,4.9,574,2021
579,Karen Pritzker,4.9,574,2021
582,Howard Schultz,4.9,574,2021
583,Yasumitsu Shigeta,4.9,574,2021
584,Thomas Siebel,4.9,574,2021
586,Chip Wilson,4.9,574,2021
589,Richard Branson,4.8,589,2021
594,Ted Lerner & family,4.8,589,2021
595,Lin Shu-hong,4.8,589,2021
596,Yuri Milner,4.8,589,2021
598,Thomas Schmidheiny,4.8,589,2021
599,Chairul Tanjung,4.8,589,2021
601,Radovan Vitek,4.8,589,2021
610,Nathan Kirsh,4.7,608,2021
611,Ken Langone,4.7,608,2021
612,Michael Pieper,4.7,608,2021
613,Richard Schulze,4.7,608,2021
617,Oleg Tinkov,4.7,608,2021
618,Mark Walter,4.7,608,2021
621,Patrizio Bertelli,4.6,622,2021
622,Bert Beveridge,4.6,622,2021
624,Chen Lip Keong,4.6,622,2021
627,Tilman Fertitta,4.6,622,2021
629,Peter Gassner,4.6,622,2021
632,Denis O'Brien,4.6,622,2021
633,Miuccia Prada,4.6,622,2021
634,"Robert Rich, Jr.",4.6,622,2021
635,Abhay Vakil & family,4.6,622,2021
637,Ron Baron,4.5,638,2021
638,Andre Esteves,4.5,638,2021
641,Viatcheslav Kantor,4.5,638,2021
642,Min Kao & family,4.5,638,2021
644,Richard Li,4.5,638,2021
645,Rudolf Maag,4.5,638,2021
648,Igor Olenicoff,4.5,638,2021
649,Sergei Popov,4.5,638,2021
650,Thomas Pritzker,4.5,638,2021
651,"Julian Robertson, Jr.",4.5,638,2021
654,Shari Arison,4.4,655,2021
